0;None;0;
1;Pound;35;
2;Karate Chop;25;
3;Double Slap;10;
4;Comet Punch;15;
5;Mega Punch;20;
6;Pay Day;20;
7;Fire Punch;15;
8;Ice Punch;15;
9;Thunder Punch;15;
10;Scratch;35;
11;Vice Grip;30;
12;Guillotine;5;
13;Razor Wind;10;
14;Swords Dance;30;
15;Cut;30;
16;Gust;35;
17;Wing Attack;35;
18;Whirlwind;20;
19;Fly;15;
20;Bind;20;
21;Slam;20;
22;Vine Whip;10;
23;Stomp;20;
24;Double Kick;30;
25;Mega Kick;5;
26;Jump Kick;25;
27;Rolling Kick;15;
28;Sand Attack;15;
29;Headbutt;15;
30;Horn Attack;25;
31;Fury Attack;20;
32;Horn Drill;5;
33;Tackle;35;
34;Body Slam;15;
35;Wrap;20;
36;Take Down;20;
37;Thrash;20;
38;Double-Edge;15;
39;Tail Whip;30;
40;Poison Sting;35;
41;Twineedle;20;
42;Pin Missile;20;
43;Leer;30;
44;Bite;25;
45;Growl;40;
46;Roar;20;
47;Sing;15;
48;Supersonic;20;
49;Sonic Boom;20;
50;Disable;20;
51;Acid;30;
52;Ember;25;
53;Flamethrower;15;
54;Mist;30;
55;Water Gun;25;
56;Hydro Pump;5;
57;Surf;15;
58;Ice Beam;10;
59;Blizzard;5;
60;Psybeam;20;
61;Bubble Beam;20;
62;Aurora Beam;20;
63;Hyper Beam;5;
64;Peck;35;
65;Drill Peck;20;
66;Submission;25;
67;Low Kick;20;
68;Counter;20;
69;Seismic Toss;20;
70;Strength;15;
71;Absorb;20;
72;Mega Drain;10;
73;Leech Seed;10;
74;Growth;40;
75;Razor Leaf;25;
76;Solar Beam;10;
77;Poison Powder;35;
78;Stun Spore;30;
79;Sleep Powder;15;
80;Petal Dance;20;
81;String Shot;40;
82;Dragon Rage;10;
83;Fire Spin;15;
84;Thunder Shock;30;
85;Thunderbolt;15;
86;Thunder Wave;20;
87;Thunder;10;
88;Rock Throw;15;
89;Earthquake;10;
90;Fissure;5;
91;Dig;10;
92;Toxic;10;
93;Confusion;25;
94;Psychic;10;
95;Hypnosis;20;
96;Meditate;40;
97;Agility;30;
98;Quick Attack;30;
99;Rage;20;
100;Teleport;20;
101;Night Shade;15;
102;Mimic;10;
103;Screech;40;
104;Double Team;15;
105;Recover;20;
106;Harden;30;
107;Minimize;20;
108;Smokescreen;20;
109;Confuse Ray;10;
110;Withdraw;40;
111;Defense Curl;40;
112;Barrier;30;
113;Light Screen;30;
114;Haze;30;
115;Reflect;20;
116;Focus Energy;30;
117;Bide;10;
118;Metronome;10;
119;Mirror Move;20;
120;Self-Destruct;5;
121;Egg Bomb;10;
122;Lick;30;
123;Smog;20;
124;Sludge;20;
125;Bone Club;20;
126;Fire Blast;5;
127;Waterfall;15;
128;Clamp;10;
129;Swift;20;
130;Skull Bash;15;
131;Spike Cannon;15;
132;Constrict;35;
133;Amnesia;20;
134;Kinesis;15;
135;Soft-Boiled;10;
136;High Jump Kick;20;
137;Glare;30;
138;Dream Eater;15;
139;Poison Gas;40;
140;Barrage;20;
141;Leech Life;15;
142;Lovely Kiss;10;
143;Sky Attack;5;
144;Transform;10;
145;Bubble;30;
146;Dizzy Punch;10;
147;Spore;15;
148;Flash;20;
149;Psywave;15;
150;Splash;40;
151;Acid Armor;40;
152;Crabhammer;10;
153;Explosion;5;
154;Fury Swipes;15;
155;Bonemerang;10;
156;Rest;10;
157;Rock Slide;10;
158;Hyper Fang;15;
159;Sharpen;30;
160;Conversion;30;
161;Tri Attack;10;
162;Super Fang;10;
163;Slash;20;
164;Substitute;10;
165;Struggle;1;
166;Sketch;1;
167;Triple Kick;10;
168;Thief;10;
169;Spider Web;10;
170;Mind Reader;5;
171;Nightmare;15;
172;Flame Wheel;25;
173;Snore;15;
174;Curse;10;
175;Flail;15;
176;Conversion 2;30;
177;Aeroblast;5;
178;Cotton Spore;40;
179;Reversal;15;
180;Spite;10;
181;Powder Snow;25;
182;Protect;10;
183;Mach Punch;30;
184;Scary Face;10;
185;Feint Attack;20;
186;Sweet Kiss;10;
187;Belly Drum;10;
188;Sludge Bomb;10;
189;Mud-Slap;10;
190;Octazooka;10;
191;Spikes;20;
192;Zap Cannon;5;
193;Foresight;40;
194;Destiny Bond;5;
195;Perish Song;5;
196;Icy Wind;15;
197;Detect;5;
198;Bone Rush;10;
199;Lock-On;5;
200;Outrage;15;
201;Sandstorm;10;
202;Giga Drain;5;
203;Endure;10;
204;Charm;20;
205;Rollout;20;
206;False Swipe;40;
207;Swagger;15;
208;Milk Drink;10;
209;Spark;20;
210;Fury Cutter;20;
211;Steel Wing;25;
212;Mean Look;5;
213;Attract;15;
214;Sleep Talk;10;
215;Heal Bell;5;
216;Return;20;
217;Present;15;
218;Frustration;20;
219;Safeguard;25;
220;Pain Split;20;
221;Sacred Fire;5;
222;Magnitude;30;
223;Dynamic Punch;5;
224;Megahorn;10;
225;Dragon Breath;20;
226;Baton Pass;40;
227;Encore;5;
228;Pursuit;20;
229;Rapid Spin;40;
230;Sweet Scent;20;
231;Iron Tail;15;
232;Metal Claw;35;
233;Vital Throw;10;
234;Morning Sun;5;
235;Synthesis;5;
236;Moonlight;5;
237;Hidden Power;15;
238;Cross Chop;5;
239;Twister;20;
240;Rain Dance;5;
241;Sunny Day;5;
242;Crunch;15;
243;Mirror Coat;20;
244;Psych Up;10;
245;Extreme Speed;5;
246;Ancient Power;5;
247;Shadow Ball;15;
248;Future Sight;15;
249;Rock Smash;15;
250;Whirlpool;15;
251;Beat Up;10;
